Seed, Checksum, Random Portals Setting (Total Greens + Reds, D[IJLTZ], N[LZ])
1469735342, 322AB412, Standard Portals (19, 1 3 3 2 2, 3 5)
1473373591, 284C4964, Standard Portals (23, 1 4 2 3 2, 6 5)
1474194915, 0FDCC284, Standard Portals (16, 1 3 2 2 2, 4 2)
1485405981, 65E9AC5F, Standard Portals (20, 1 4 2 2 2, 6 3)
1485484370, A02B2817, Standard Portals (22, 1 3 2 2 3, 7 4)
1495365103, 2CAE539A, Standard Portals (18, 1 3 2 2 4, 3 3)
1500229239, 7F540A28, Standard Portals (20, 1 3 2 3 3, 5 3)
1512906926, 654A8D1A, Standard Portals (20, 1 3 2 2 3, 7 2)
1515326431, 38EC9326, Standard Portals (17, 1 3 3 2 2, 2 4)
1529504002, F9FCC616, Standard Portals (21, 1 3 3 2 3, 5 4)
1538942985, 010B300B, Standard Portals (19, 1 3 2 2 2, 7 2)
1540798817, 52DA7AD0, Standard Portals (23, 1 3 3 3 2, 9 2)
1542467022, C9C19D39, Standard Portals (22, 1 3 2 2 2, 7 5)
1543813811, 3F54D806, Standard Portals (17, 1 3 2 2 2, 4 3)
1549417174, E0984914, Standard Portals (23, 1 3 2 2 2, 8 5)
1551852936, 1DE73875, Standard Portals (25, 1 3 3 2 3, 8 5)
1555342859, FB4093EC, Standard Portals (22, 1 3 2 3 3, 6 4)
1562558938, 1D9CBC1E, Standard Portals (22, 1 4 3 3 2, 5 4)
1568048019, D7F8B158, Standard Portals (23, 1 5 2 2 3, 6 4)
1577363788, 17F69F8C, Standard Portals (19, 1 3 3 2 2, 5 3)
1594451000, B4D11761, Standard Portals (24, 1 3 2 4 3, 7 4)
1599472675, 52E34BCB, Standard Portals (18, 1 3 2 2 2, 6 2)
1602416730, 6D229EB8, Standard Portals (22, 1 4 2 2 2, 6 5)
1602471478, 4F542D30, Standard Portals (19, 1 3 2 3 2, 6 2)
1623868513, A740A0FC, Standard Portals (18, 1 3 2 3 3, 3 3)
1634272857, FE403C96, Standard Portals (20, 1 3 2 3 2, 6 3)
1635651670, DBC9733F, Standard Portals (22, 1 3 3 2 2, 6 5)
1636287709, 711984B1, Standard Portals (18, 1 3 2 2 2, 6 2)
1645962802, 567E8A54, Standard Portals (20, 1 3 2 2 2, 7 3)
1652587006, D994CDA8, Standard Portals (20, 1 4 2 3 2, 5 3)
1655451835, E81765FF, Standard Portals (19, 1 3 2 2 2, 4 5)
1659315791, 37A4E2AA, Standard Portals (20, 1 3 3 2 3, 5 3)
1667173533, 7211015F, Standard Portals (24, 1 4 2 2 2, 8 5)
1677231479, 8754DC0E, Standard Portals (21, 1 3 2 3 2, 7 3)
1681522610, 848AB628, Standard Portals (18, 1 3 3 2 3, 4 2)
1686428975, A20A36A2, Standard Portals (18, 1 3 2 2 2, 6 2)
1688153915, 4DB3FFBB, Standard Portals (18, 1 3 2 2 2, 6 2)
1688678642, 745D0ECD, Standard Portals (19, 1 3 2 2 2, 5 4)
1699222658, BE92277E, Standard Portals (21, 1 3 2 2 2, 6 5)
1706504174, 1A238059, Standard Portals (24, 1 4 2 3 3, 6 5)
1723293593, 9B8D9B4F, Standard Portals (22, 1 3 2 2 2, 7 5)
1728850082, 2BAEBCB2, Standard Portals (21, 1 4 2 3 2, 6 3)
1741067532, 3CA6F83A, Standard Portals (21, 1 4 2 2 2, 5 5)
1754356246, F4E7BD59, Standard Portals (18, 1 3 3 2 2, 3 4)
1759863810, 048CCC4E, Standard Portals (21, 1 3 3 2 2, 6 4)
1774445846, D317337D, Standard Portals (19, 1 3 2 3 2, 5 3)
1786897524, 1DB3AB3D, Standard Portals (18, 1 3 2 2 2, 6 2)
1791915472, 9F292169, Standard Portals (21, 1 3 2 2 3, 8 2)
1792877571, B50ED6F8, Standard Portals (26, 1 5 2 2 3, 7 6)
1794696037, FE08EE9E, Standard Portals (17, 1 3 2 2 2, 5 2)
1796656723, E839C151, Standard Portals (17, 1 3 2 2 2, 3 4)
1798481908, 16F5C60D, Standard Portals (19, 1 3 2 3 2, 5 3)
1800903489, 78BCF570, Standard Portals (23, 1 3 2 3 2, 7 5)
1802735533, D6367EA0, Standard Portals (21, 1 3 2 2 2, 6 5)
1820475124, 5BA849EA, Standard Portals (21, 1 3 2 3 2, 5 5)
1823242264, 9EDC72E0, Standard Portals (23, 1 3 2 3 2, 8 4)
1825510843, AD40E668, Standard Portals (21, 1 3 2 3 2, 5 5)
1843323374, CEE0C092, Standard Portals (21, 1 3 2 2 2, 7 4)
1850671669, 003A4A0A, Standard Portals (19, 1 3 2 3 2, 6 2)
1856054168, F108D8D0, Standard Portals (21, 1 3 2 2 2, 7 4)
1861387317, 4D25C87D, Standard Portals (21, 1 4 2 2 2, 7 3)
1863543713, 63670CA3, Standard Portals (22, 1 3 3 2 2, 7 4)
1865174428, 9991F6EF, Standard Portals (16, 1 3 2 2 2, 4 2)
